"FISHING_GROUND_CODE","DESCRIPTION_EN","DESCRIPTION_FR","AREA_TYPE_CODE"
"5204084","04° - 05°S; 084° - 085°E","04° - 05°S; 084° - 085°E","GRID01x01"
"5204085","04° - 05°S; 085° - 086°E","04° - 05°S; 085° - 086°E","GRID01x01"
"5204086","04° - 05°S; 086° - 087°E","04° - 05°S; 086° - 087°E","GRID01x01"
"5204087","04° - 05°S; 087° - 088°E","04° - 05°S; 087° - 088°E","GRID01x01"
"5204088","04° - 05°S; 088° - 089°E","04° - 05°S; 088° - 089°E","GRID01x01"
"5204089","04° - 05°S; 089° - 090°E","04° - 05°S; 089° - 090°E","GRID01x01"
"5204090","04° - 05°S; 090° - 091°E","04° - 05°S; 090° - 091°E","GRID01x01"
"5204091","04° - 05°S; 091° - 092°E","04° - 05°S; 091° - 092°E","GRID01x01"
"5204092","04° - 05°S; 092° - 093°E","04° - 05°S; 092° - 093°E","GRID01x01"
"5204093","04° - 05°S; 093° - 094°E","04° - 05°S; 093° - 094°E","GRID01x01"
"5204094","04° - 05°S; 094° - 095°E","04° - 05°S; 094° - 095°E","GRID01x01"
"5204095","04° - 05°S; 095° - 096°E","04° - 05°S; 095° - 096°E","GRID01x01"
"5204096","04° - 05°S; 096° - 097°E","04° - 05°S; 096° - 097°E","GRID01x01"
"5205039","05° - 06°S; 039° - 040°E","05° - 06°S; 039° - 040°E","GRID01x01"
"5205040","05° - 06°S; 040° - 041°E","05° - 06°S; 040° - 041°E","GRID01x01"
"5205041","05° - 06°S; 041° - 042°E","05° - 06°S; 041° - 042°E","GRID01x01"
"5205042","05° - 06°S; 042° - 043°E","05° - 06°S; 042° - 043°E","GRID01x01"
"5205043","05° - 06°S; 043° - 044°E","05° - 06°S; 043° - 044°E","GRID01x01"
"5205044","05° - 06°S; 044° - 045°E","05° - 06°S; 044° - 045°E","GRID01x01"
"5205045","05° - 06°S; 045° - 046°E","05° - 06°S; 045° - 046°E","GRID01x01"
"5205046","05° - 06°S; 046° - 047°E","05° - 06°S; 046° - 047°E","GRID01x01"
"5205047","05° - 06°S; 047° - 048°E","05° - 06°S; 047° - 048°E","GRID01x01"
"5205048","05° - 06°S; 048° - 049°E","05° - 06°S; 048° - 049°E","GRID01x01"
"5205049","05° - 06°S; 049° - 050°E","05° - 06°S; 049° - 050°E","GRID01x01"
"5205050","05° - 06°S; 050° - 051°E","05° - 06°S; 050° - 051°E","GRID01x01"
"5205051","05° - 06°S; 051° - 052°E","05° - 06°S; 051° - 052°E","GRID01x01"
"5205052","05° - 06°S; 052° - 053°E","05° - 06°S; 052° - 053°E","GRID01x01"
"5205053","05° - 06°S; 053° - 054°E","05° - 06°S; 053° - 054°E","GRID01x01"
"5205054","05° - 06°S; 054° - 055°E","05° - 06°S; 054° - 055°E","GRID01x01"
"5205055","05° - 06°S; 055° - 056°E","05° - 06°S; 055° - 056°E","GRID01x01"
"5205056","05° - 06°S; 056° - 057°E","05° - 06°S; 056° - 057°E","GRID01x01"
"5205057","05° - 06°S; 057° - 058°E","05° - 06°S; 057° - 058°E","GRID01x01"
"5205058","05° - 06°S; 058° - 059°E","05° - 06°S; 058° - 059°E","GRID01x01"
"5205059","05° - 06°S; 059° - 060°E","05° - 06°S; 059° - 060°E","GRID01x01"
"5205060","05° - 06°S; 060° - 061°E","05° - 06°S; 060° - 061°E","GRID01x01"
"5205061","05° - 06°S; 061° - 062°E","05° - 06°S; 061° - 062°E","GRID01x01"
"5205062","05° - 06°S; 062° - 063°E","05° - 06°S; 062° - 063°E","GRID01x01"
"5205063","05° - 06°S; 063° - 064°E","05° - 06°S; 063° - 064°E","GRID01x01"
"5205064","05° - 06°S; 064° - 065°E","05° - 06°S; 064° - 065°E","GRID01x01"
"5205065","05° - 06°S; 065° - 066°E","05° - 06°S; 065° - 066°E","GRID01x01"
"5205066","05° - 06°S; 066° - 067°E","05° - 06°S; 066° - 067°E","GRID01x01"
"5205067","05° - 06°S; 067° - 068°E","05° - 06°S; 067° - 068°E","GRID01x01"
"5205068","05° - 06°S; 068° - 069°E","05° - 06°S; 068° - 069°E","GRID01x01"
"5205069","05° - 06°S; 069° - 070°E","05° - 06°S; 069° - 070°E","GRID01x01"
"5205070","05° - 06°S; 070° - 071°E","05° - 06°S; 070° - 071°E","GRID01x01"
"5205072","05° - 06°S; 072° - 073°E","05° - 06°S; 072° - 073°E","GRID01x01"
"5205073","05° - 06°S; 073° - 074°E","05° - 06°S; 073° - 074°E","GRID01x01"
"5205075","05° - 06°S; 075° - 076°E","05° - 06°S; 075° - 076°E","GRID01x01"
"5205076","05° - 06°S; 076° - 077°E","05° - 06°S; 076° - 077°E","GRID01x01"
"5205077","05° - 06°S; 077° - 078°E","05° - 06°S; 077° - 078°E","GRID01x01"
"5205078","05° - 06°S; 078° - 079°E","05° - 06°S; 078° - 079°E","GRID01x01"
"5205079","05° - 06°S; 079° - 080°E","05° - 06°S; 079° - 080°E","GRID01x01"
"5205080","05° - 06°S; 080° - 081°E","05° - 06°S; 080° - 081°E","GRID01x01"
"5205081","05° - 06°S; 081° - 082°E","05° - 06°S; 081° - 082°E","GRID01x01"
"5205082","05° - 06°S; 082° - 083°E","05° - 06°S; 082° - 083°E","GRID01x01"
"5205083","05° - 06°S; 083° - 084°E","05° - 06°S; 083° - 084°E","GRID01x01"
"5205084","05° - 06°S; 084° - 085°E","05° - 06°S; 084° - 085°E","GRID01x01"
"5205085","05° - 06°S; 085° - 086°E","05° - 06°S; 085° - 086°E","GRID01x01"
"5205086","05° - 06°S; 086° - 087°E","05° - 06°S; 086° - 087°E","GRID01x01"
"5205087","05° - 06°S; 087° - 088°E","05° - 06°S; 087° - 088°E","GRID01x01"
"5205088","05° - 06°S; 088° - 089°E","05° - 06°S; 088° - 089°E","GRID01x01"
"5205089","05° - 06°S; 089° - 090°E","05° - 06°S; 089° - 090°E","GRID01x01"
"5205090","05° - 06°S; 090° - 091°E","05° - 06°S; 090° - 091°E","GRID01x01"
"5205091","05° - 06°S; 091° - 092°E","05° - 06°S; 091° - 092°E","GRID01x01"
"5205092","05° - 06°S; 092° - 093°E","05° - 06°S; 092° - 093°E","GRID01x01"
"5205093","05° - 06°S; 093° - 094°E","05° - 06°S; 093° - 094°E","GRID01x01"
"5205094","05° - 06°S; 094° - 095°E","05° - 06°S; 094° - 095°E","GRID01x01"
"5205095","05° - 06°S; 095° - 096°E","05° - 06°S; 095° - 096°E","GRID01x01"
"5205096","05° - 06°S; 096° - 097°E","05° - 06°S; 096° - 097°E","GRID01x01"
"5205105","05° - 06°S; 105° - 106°E","05° - 06°S; 105° - 106°E","GRID01x01"
"5206039","06° - 07°S; 039° - 040°E","06° - 07°S; 039° - 040°E","GRID01x01"
"5206040","06° - 07°S; 040° - 041°E","06° - 07°S; 040° - 041°E","GRID01x01"
"5206041","06° - 07°S; 041° - 042°E","06° - 07°S; 041° - 042°E","GRID01x01"
"5206042","06° - 07°S; 042° - 043°E","06° - 07°S; 042° - 043°E","GRID01x01"
"5206043","06° - 07°S; 043° - 044°E","06° - 07°S; 043° - 044°E","GRID01x01"
"5206044","06° - 07°S; 044° - 045°E","06° - 07°S; 044° - 045°E","GRID01x01"
"5206045","06° - 07°S; 045° - 046°E","06° - 07°S; 045° - 046°E","GRID01x01"
"5206046","06° - 07°S; 046° - 047°E","06° - 07°S; 046° - 047°E","GRID01x01"
"5206047","06° - 07°S; 047° - 048°E","06° - 07°S; 047° - 048°E","GRID01x01"
"5206048","06° - 07°S; 048° - 049°E","06° - 07°S; 048° - 049°E","GRID01x01"
"5206049","06° - 07°S; 049° - 050°E","06° - 07°S; 049° - 050°E","GRID01x01"
"5206050","06° - 07°S; 050° - 051°E","06° - 07°S; 050° - 051°E","GRID01x01"
"5206051","06° - 07°S; 051° - 052°E","06° - 07°S; 051° - 052°E","GRID01x01"
"5206052","06° - 07°S; 052° - 053°E","06° - 07°S; 052° - 053°E","GRID01x01"
"5206053","06° - 07°S; 053° - 054°E","06° - 07°S; 053° - 054°E","GRID01x01"
"5206054","06° - 07°S; 054° - 055°E","06° - 07°S; 054° - 055°E","GRID01x01"
"5206055","06° - 07°S; 055° - 056°E","06° - 07°S; 055° - 056°E","GRID01x01"
"5206056","06° - 07°S; 056° - 057°E","06° - 07°S; 056° - 057°E","GRID01x01"
"5206057","06° - 07°S; 057° - 058°E","06° - 07°S; 057° - 058°E","GRID01x01"
"5206058","06° - 07°S; 058° - 059°E","06° - 07°S; 058° - 059°E","GRID01x01"
"5206059","06° - 07°S; 059° - 060°E","06° - 07°S; 059° - 060°E","GRID01x01"
"5206060","06° - 07°S; 060° - 061°E","06° - 07°S; 060° - 061°E","GRID01x01"
"5206061","06° - 07°S; 061° - 062°E","06° - 07°S; 061° - 062°E","GRID01x01"
"5206062","06° - 07°S; 062° - 063°E","06° - 07°S; 062° - 063°E","GRID01x01"
"5206063","06° - 07°S; 063° - 064°E","06° - 07°S; 063° - 064°E","GRID01x01"
"5206064","06° - 07°S; 064° - 065°E","06° - 07°S; 064° - 065°E","GRID01x01"
"5206065","06° - 07°S; 065° - 066°E","06° - 07°S; 065° - 066°E","GRID01x01"
"5206066","06° - 07°S; 066° - 067°E","06° - 07°S; 066° - 067°E","GRID01x01"
"5206067","06° - 07°S; 067° - 068°E","06° - 07°S; 067° - 068°E","GRID01x01"
"5206068","06° - 07°S; 068° - 069°E","06° - 07°S; 068° - 069°E","GRID01x01"
"5206069","06° - 07°S; 069° - 070°E","06° - 07°S; 069° - 070°E","GRID01x01"
"5206070","06° - 07°S; 070° - 071°E","06° - 07°S; 070° - 071°E","GRID01x01"
"5206072","06° - 07°S; 072° - 073°E","06° - 07°S; 072° - 073°E","GRID01x01"
"5206073","06° - 07°S; 073° - 074°E","06° - 07°S; 073° - 074°E","GRID01x01"
"5206076","06° - 07°S; 076° - 077°E","06° - 07°S; 076° - 077°E","GRID01x01"
"5206077","06° - 07°S; 077° - 078°E","06° - 07°S; 077° - 078°E","GRID01x01"
"5206078","06° - 07°S; 078° - 079°E","06° - 07°S; 078° - 079°E","GRID01x01"
"5206079","06° - 07°S; 079° - 080°E","06° - 07°S; 079° - 080°E","GRID01x01"
"5206080","06° - 07°S; 080° - 081°E","06° - 07°S; 080° - 081°E","GRID01x01"
"5206081","06° - 07°S; 081° - 082°E","06° - 07°S; 081° - 082°E","GRID01x01"
"5206082","06° - 07°S; 082° - 083°E","06° - 07°S; 082° - 083°E","GRID01x01"
"5206083","06° - 07°S; 083° - 084°E","06° - 07°S; 083° - 084°E","GRID01x01"
"5206084","06° - 07°S; 084° - 085°E","06° - 07°S; 084° - 085°E","GRID01x01"
"5206085","06° - 07°S; 085° - 086°E","06° - 07°S; 085° - 086°E","GRID01x01"
"5206086","06° - 07°S; 086° - 087°E","06° - 07°S; 086° - 087°E","GRID01x01"
"5206087","06° - 07°S; 087° - 088°E","06° - 07°S; 087° - 088°E","GRID01x01"
"5206088","06° - 07°S; 088° - 089°E","06° - 07°S; 088° - 089°E","GRID01x01"
"5206089","06° - 07°S; 089° - 090°E","06° - 07°S; 089° - 090°E","GRID01x01"
"5206090","06° - 07°S; 090° - 091°E","06° - 07°S; 090° - 091°E","GRID01x01"
"5206091","06° - 07°S; 091° - 092°E","06° - 07°S; 091° - 092°E","GRID01x01"
"5206092","06° - 07°S; 092° - 093°E","06° - 07°S; 092° - 093°E","GRID01x01"
"5206093","06° - 07°S; 093° - 094°E","06° - 07°S; 093° - 094°E","GRID01x01"
"5206094","06° - 07°S; 094° - 095°E","06° - 07°S; 094° - 095°E","GRID01x01"
"5206095","06° - 07°S; 095° - 096°E","06° - 07°S; 095° - 096°E","GRID01x01"
"5206096","06° - 07°S; 096° - 097°E","06° - 07°S; 096° - 097°E","GRID01x01"
"5206097","06° - 07°S; 097° - 098°E","06° - 07°S; 097° - 098°E","GRID01x01"
"5207039","07° - 08°S; 039° - 040°E","07° - 08°S; 039° - 040°E","GRID01x01"
"5207040","07° - 08°S; 040° - 041°E","07° - 08°S; 040° - 041°E","GRID01x01"
"5207041","07° - 08°S; 041° - 042°E","07° - 08°S; 041° - 042°E","GRID01x01"
"5207042","07° - 08°S; 042° - 043°E","07° - 08°S; 042° - 043°E","GRID01x01"
"5207043","07° - 08°S; 043° - 044°E","07° - 08°S; 043° - 044°E","GRID01x01"
"5207044","07° - 08°S; 044° - 045°E","07° - 08°S; 044° - 045°E","GRID01x01"
"5207045","07° - 08°S; 045° - 046°E","07° - 08°S; 045° - 046°E","GRID01x01"
"5207046","07° - 08°S; 046° - 047°E","07° - 08°S; 046° - 047°E","GRID01x01"
"5207047","07° - 08°S; 047° - 048°E","07° - 08°S; 047° - 048°E","GRID01x01"
"5207048","07° - 08°S; 048° - 049°E","07° - 08°S; 048° - 049°E","GRID01x01"
"5207049","07° - 08°S; 049° - 050°E","07° - 08°S; 049° - 050°E","GRID01x01"
"5207050","07° - 08°S; 050° - 051°E","07° - 08°S; 050° - 051°E","GRID01x01"
"5207051","07° - 08°S; 051° - 052°E","07° - 08°S; 051° - 052°E","GRID01x01"
"5207052","07° - 08°S; 052° - 053°E","07° - 08°S; 052° - 053°E","GRID01x01"
"5207053","07° - 08°S; 053° - 054°E","07° - 08°S; 053° - 054°E","GRID01x01"
"5207054","07° - 08°S; 054° - 055°E","07° - 08°S; 054° - 055°E","GRID01x01"
"5207055","07° - 08°S; 055° - 056°E","07° - 08°S; 055° - 056°E","GRID01x01"
"5207056","07° - 08°S; 056° - 057°E","07° - 08°S; 056° - 057°E","GRID01x01"
"5207057","07° - 08°S; 057° - 058°E","07° - 08°S; 057° - 058°E","GRID01x01"
"5207058","07° - 08°S; 058° - 059°E","07° - 08°S; 058° - 059°E","GRID01x01"
"5207059","07° - 08°S; 059° - 060°E","07° - 08°S; 059° - 060°E","GRID01x01"
"5207060","07° - 08°S; 060° - 061°E","07° - 08°S; 060° - 061°E","GRID01x01"
"5207061","07° - 08°S; 061° - 062°E","07° - 08°S; 061° - 062°E","GRID01x01"
"5207062","07° - 08°S; 062° - 063°E","07° - 08°S; 062° - 063°E","GRID01x01"
"5207063","07° - 08°S; 063° - 064°E","07° - 08°S; 063° - 064°E","GRID01x01"
"5207064","07° - 08°S; 064° - 065°E","07° - 08°S; 064° - 065°E","GRID01x01"
"5207065","07° - 08°S; 065° - 066°E","07° - 08°S; 065° - 066°E","GRID01x01"
"5207066","07° - 08°S; 066° - 067°E","07° - 08°S; 066° - 067°E","GRID01x01"
"5207067","07° - 08°S; 067° - 068°E","07° - 08°S; 067° - 068°E","GRID01x01"
"5207068","07° - 08°S; 068° - 069°E","07° - 08°S; 068° - 069°E","GRID01x01"
"5207069","07° - 08°S; 069° - 070°E","07° - 08°S; 069° - 070°E","GRID01x01"
"5207070","07° - 08°S; 070° - 071°E","07° - 08°S; 070° - 071°E","GRID01x01"
"5207071","07° - 08°S; 071° - 072°E","07° - 08°S; 071° - 072°E","GRID01x01"
"5207072","07° - 08°S; 072° - 073°E","07° - 08°S; 072° - 073°E","GRID01x01"
"5207076","07° - 08°S; 076° - 077°E","07° - 08°S; 076° - 077°E","GRID01x01"
"5207077","07° - 08°S; 077° - 078°E","07° - 08°S; 077° - 078°E","GRID01x01"
"5207078","07° - 08°S; 078° - 079°E","07° - 08°S; 078° - 079°E","GRID01x01"
"5207079","07° - 08°S; 079° - 080°E","07° - 08°S; 079° - 080°E","GRID01x01"
"5207080","07° - 08°S; 080° - 081°E","07° - 08°S; 080° - 081°E","GRID01x01"
"5207081","07° - 08°S; 081° - 082°E","07° - 08°S; 081° - 082°E","GRID01x01"
"5207082","07° - 08°S; 082° - 083°E","07° - 08°S; 082° - 083°E","GRID01x01"
"5207083","07° - 08°S; 083° - 084°E","07° - 08°S; 083° - 084°E","GRID01x01"
"5207084","07° - 08°S; 084° - 085°E","07° - 08°S; 084° - 085°E","GRID01x01"
"5207085","07° - 08°S; 085° - 086°E","07° - 08°S; 085° - 086°E","GRID01x01"
"5207086","07° - 08°S; 086° - 087°E","07° - 08°S; 086° - 087°E","GRID01x01"
"5207087","07° - 08°S; 087° - 088°E","07° - 08°S; 087° - 088°E","GRID01x01"
"5207088","07° - 08°S; 088° - 089°E","07° - 08°S; 088° - 089°E","GRID01x01"
"5207089","07° - 08°S; 089° - 090°E","07° - 08°S; 089° - 090°E","GRID01x01"
"5207090","07° - 08°S; 090° - 091°E","07° - 08°S; 090° - 091°E","GRID01x01"
