FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A1,A2,A3,A4
SEN,ELL,UNCL,LL,,A2,A3,A4
SUN,GILL,UNCL,OT,A1,,,
SUN,LL,UNCL,LL,A1,A2,A3,A4
SUN,PS,LS,PS,A1,,,
SYC,ELL,UNCL,LL,A1,,,
SYC,FLL,UNCL,LL,A1,,,
SYC,LL,UNCL,LL,A1,A2,A3,A4
SYC,LLCO,UNCL,LL,A1,,,
SYC,PS,FS,PS,A1,A2,A3,
SYC,PS,LS,PS,A1,A2,A3,
THA,FLL,UNCL,LL,,A2,,A4
THA,LL,UNCL,LL,A1,A2,A3,A4
THA,PS,FS,PS,A1,,,
THA,PS,LS,PS,A1,,,
TMP,GILL,UNCL,OT,,A2,,
TWN,FLL,UNCL,LL,A1,A2,A3,A4
TWN,GILL,UNCL,DN,A3,A4,A3,A4
TWN,LL,UNCL,LL,A1,A2,A3,A4
TWN,LLOB,UNCL,LL,A1,A2,A3,A4
TZA,FLL,UNCL,LL,A1,A2,A3,A4
TZA,LL,UNCL,LL,A1,A2,A3,A4
VUT,FLL,UNCL,LL,,A2,,A4
YEM,GILL,UNCL,OT,A1,,,
YEM,HAND,UNCL,OT,A1,,,
YEM,TROL,UNCL,OT,A1,,,
ZAF,BB,UNCL,OT,,,A3,
ZAF,ELL,UNCL,LL,A1,,A3,A4
ZAF,LL,UNCL,LL,A1,,A3,
ZAF,SLL,UNCL,LL,,,A3,
ZAF,SPOR,UNCL,OT,,,A3,
