FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A0.1,A0.2,A1,A2,A3.1,A3.2,A3.3,A0.3,A0.4,A0.5
EUITA,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
EUMYT,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
EUMYT,ELLOB,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
EUMYT,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
EUMYT,LLCO,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
EUMYT,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
EUMYT,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
EUMYT,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
EUPRT,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
EUPRT,LLOB,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
EUREU,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
EUREU,ELLOB,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
EUREU,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
EUREU,LLCO,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
EUREU,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
FRA,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
FRA,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
FRA-REU,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
FRA-REU,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
FRAT,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
FRAT,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
FRAT,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
FRAT,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
FRAT,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
GBR,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
GBR,LLOB,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
GIN,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
IDN,DSEI,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
IDN,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
IDN,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IDN,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
IDN,HLOF,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
IDN,LIFT,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IDN,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
IDN,LLCO,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
IDN,PSS,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
IDN,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IDN  ,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IND,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
IND,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IND,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
IND,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
IND,LLCO,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
IND,LLEX,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
IND,PSS,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
IND,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IND  ,BB,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
IND  ,BS,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IND  ,GIOF,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IND  ,TRAW,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IRN,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IRN,GIOF,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IRN,LL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
IRN,PS,FS,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IRN,PS,LS,PSLS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IRN,PS,UNCL,PSFS,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
IRN,TROL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
JOR,BB,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
JOR,GILL,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
JOR,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
JOR,LLCO,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
JOR,PSS,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
JOR,SPOR,UNCL,OTHER,A1,A2,A1,A2,A1,A1,A2,A1,A1,A2
