FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A1,A2
LKA,LLCO,UNCL,LI,A1,A2
LKA,PS,LS,Other,A1,A2
LKA,RIN,UNCL,Other,A1,A2
LKA,RNOF,UNCL,Other,A1,A2
LKA,TROL,UNCL,LI,A1,A2
LKA,TROLM,UNCL,LI,A1,A2
LKA,UNCL,UNCL,Other,A1,A2
MDG,BB,UNCL,Other,A1,A2
MDG,ELL,UNCL,LL,A1,A2
MDG,LL,UNCL,LL,A1,A2
MDG,TROL,UNCL,LI,A1,A2
MDV,BB,FD,BB,A1,A2
MDV,BB,FS,BB,A1,A2
MDV,BB,LA,BB,A1,A2
MDV,BB,LS,BB,A1,A2
MDV,BB,UNCL,BB,A1,A2
MDV,BBM,UNCL,BB,A1,A2
MDV,BBN,UNCL,BB,A1,A2
MDV,BBOF,UNCL,BB,A1,A2
MDV,BBOF,FS,BB,A1,A2
MDV,BBOF,LA,BB,A1,A2
MDV,BBOF,FD,BB,A1,A2
MDV,FLL,UNCL,LL,A1,A2
MDV,FN,UNCL,Other,A1,A2
MDV,HAND,FS,LI,A1,A2
MDV,HAND,UNCL,LI,A1,A2
MDV,HLOF,UNCL,LI,A1,A2
MDV,LL,UNCL,LL,A1,A2
MDV,LLCO,UNCL,LI,A1,A2
MDV,TROL,LA,LI,A1,A2
MDV,TROL,UNCL,LI,A1,A2
MDV,TROLM,UNCL,LI,A1,A2
MDV,TROLN,UNCL,LI,A1,A2
MDV,UNCL,UNCL,Other,A1,A2
MOZ,BS,UNCL,Other,A1,A2
MOZ,ELL,UNCL,LL,A1,A2
MOZ,FLL,UNCL,LL,A1,A2
MOZ,GILL,UNCL,GL,A1,A2
MOZ,HAND,UNCL,LI,A1,A2
MOZ  ,PSS,UNCL,Other,A1,A2
MOZ,SPOR,UNCL,LI,A1,A2
MOZ,TROL,UNCL,LI,A1,A2
MUS,ELL,UNCL,LL,A1,A2
MUS,FLL,UNCL,LL,A1,A2
MUS,HAND,UNCL,LI,A1,A2
MUS,LL,UNCL,LL,A1,A2
MUS,PS,FS,Other,A1,A2
MUS,PS,LS,Other,A1,A2
MUS,PS,UNCL,Other,A1,A2
MUS,PSOB,LS,Other,A1,A2
MUS,PSOB,UNCL,Other,A1,A2
MUS,SPOR,UNCL,LI,A1,A2
MUS,TROL,UNCL,LI,A1,A2
MYS,FLL,UNCL,LL,A1,A2
MYS,GILL,UNCL,GL,A1,A2
MYS,PS,FS,Other,A1,A2
MYS,PS,LS,Other,A1,A2
MYS,PSS,UNCL,Other,A1,A2
MYS,TRAW,UNCL,Other,A1,A2
MYS,TROL,UNCL,LI,A1,A2
NEICE,FLL,UNCL,LL,A1,A2
NEI-DFRZ,ELL,UNCL,LL,A1,A2
NEI-DFRZ,LL,UNCL,LL,A1,A2
NEIFR,ELL,UNCL,LL,A1,A2
NEIFR,LL,UNCL,LL,A1,A2
NEI-ICE,FLL,UNCL,LL,A1,A2
NEI-OTH,PS,FS,Other,A1,A2
NEI-OTH,PS,LS,Other,A1,A2
NEIPS,PS,FS,PSFS,A1,A2
NEIPS,PS,LS,PSLS,A1,A2
NEISU,PS,FS,Other,A1,A2
NEISU,PS,LS,Other,A1,A2
NEI-SUN,PS,FS,Other,A1,A2
NEI-SUN,PS,LS,Other,A1,A2
OMN,BS,UNCL,Other,A1,A2
OMN,FN,UNCL,Other,A1,A2
OMN,GILL,UNCL,GL,A1,A2
OMN,GIOF,UNCL,GL,A1,A2
OMN,HAND,UNCL,LI,A1,A2
OMN,TRAP,UNCL,Other,A1,A2
OMN,TROL,UNCL,LI,A1,A2
PAK,GILL,UNCL,GL,A1,A2
PHL,LL,UNCL,LL,A1,A2
PHL,PS,LS,Other,A1,A2
PRT,ELL,UNCL,LL,A1,A2
QAT,GILL,UNCL,GL,A1,A2
SEN,ELL,UNCL,LL,A1,A2
SUN,GILL,UNCL,GL,A1,A2
SUN,LL,UNCL,LL,A1,A2
SUN,PS,FS,Other,A1,A2
SUN,PS,LS,Other,A1,A2
SUN,PSS,UNCL,Other,A1,A2
SYC,BB,UNCL,BB,A1,A2
SYC,GILL,UNCL,GL,A1,A2
SYC,HAND,UNCL,LI,A1,A2
SYC,LL,UNCL,LL,A1,A2
SYC,PS,FS,PSFS,A1,A2
SYC,PS,LS,PSLS,A1,A2
SYC,PS,UNCL,PSLS,A1,A2
SYC,TROL,UNCL,LI,A1,A2
THA,FLL,UNCL,LL,A1,A2
THA,LL,UNCL,LL,A1,A2
THA,PS,FS,Other,A1,A2
THA,PS,LS,Other,A1,A2
THA,PSS,UNCL,Other,A1,A2
TMP,GILL,UNCL,GL,A1,A2
TWN,FLL,UNCL,LL,A1,A2
TWN,GILL,UNCL,GL,A1,A2
TWN,LL,UNCL,LL,A1,A2
TWN,LLOB,UNCL,LL,A1,A2
TZA,BB,UNCL,Other,A1,A2
TZA,ELL,UNCL,LL,A1,A2
TZA,FLL,UNCL,LL,A1,A2
TZA,GILL,UNCL,GL,A1,A2
TZA,HAND,UNCL,LI,A1,A2
TZA  ,LL,UNCL,LL,A1,A2
TZA,OTHER,UNCL,Other,A1,A2
TZA,PS,FS,PSFS,A1,A2
TZA,PS,LS,PSLS,A1,A2
TZA,PSS,UNCL,Other,A1,A2
TZA,TROL,UNCL,LI,A1,A2
YEM,GILL,UNCL,GL,A1,A2
YEM,HAND,UNCL,LI,A1,A2
YEM,TROL,UNCL,LI,A1,A2
ZAF,ELL,UNCL,LL,A1,A2
ZAF,GILL,UNCL,GL,A1,A2
ZAF,LL,UNCL,LL,A1,A2
ZAF,SPOR,UNCL,LI,A1,A2
ZAF,TROL,UNCL,LI,A1,A2
